date,event,description
1954-01-01,Virgin Lands Campaign,Aimed to boost Soviet agriculture; led to significant demographic changes.
1924-01-01,Establishment of Uzbek SSR,Formation of Uzbek Soviet Socialist Republic within the USSR.
1865-01-01,Treaty of Sinchula,"Ceded border lands to British India in exchange for an annual subsidy, defining borders."
1940-01-01,Introduction of English as a Medium of Education,Marked the beginning of modern education in the Maldives.
1941-01-01,Japanese Occupation of Malaya,"Japanese control during WWII, leading to significant hardship and resistance movements."
1951-01-01,Nationalization of Oil Industry,Marked a pivotal moment in Iran's struggle for sovereignty over its oil resources.
1955-01-01,Baghdad Pact,"Aimed to counter Soviet influence in the Middle East, involving Iraq and Western powers."
1954-01-01,Kengir Uprising,"A major uprising by Gulag prisoners, highlighting resistance to Soviet repression."
1930-01-01,Collectivization in Uzbekistan,"Forced collectivization under Soviet rule, leading to economic and social upheaval."
1953-01-01,Establishment of the National Assembly,"Introduced a new legislative body, marking a step towards modern governance."
1932-01-01,First Constitution of Maldives,"Introduction of the first constitution, laying the foundation for legal and political reform."
1948-01-01,Malayan Emergency,A guerrilla war between Commonwealth armed forces and the Malayan National Liberation Army.
1925-01-01,Reza Shah's Modernization Efforts,"Initiatives for modernization and secularization, impacting various aspects of Iranian society."
1921-01-01,Faisal I Becomes King of Iraq,"Establishment of the Hashemite monarchy in Iraq, under British influence."
1500-01-01,Silk Road Decline,"Decline of the Silk Road trade routes, impacting Central Asian economies and cities like Samarkand."
1864-01-01,Duar War (BritishUnknownBhutan War),Conflict with British India leading to ceding of Bhutanese territories in the Treaty of Sinchula.
1953-01-01,Sultanate Abolished and Restored,"Brief abolition of the sultanate, showing political instability and change."
1895-01-01,Federated Malay States Formed,British establishment of federated administrative structure to streamline colonial governance.
1951-01-01,AngloUnknownIranian Oil Company Nationalized,"Nationalization of Iran's oil industry, leading to a significant political and economic standoff."
1932-01-01,Kingdom of Iraq Independence,"Iraq's independence from British mandate, marking the establishment of a sovereign state."
1932-01-01,Famine of 1932Unknown1933,"Devastating famine caused by Soviet collectivization policies, greatly affecting the Kazakh populace."
1920-01-01,Bukharan People's Soviet Republic Formed,"Establishment of a Soviet republic, incorporating Bukhara into the Soviet Union."
1907-01-01,Establishment of Monarchy,"Establishment of the Wangchuck dynasty, bringing stability and central governance."
1932-01-01,Introduction of First Constitution,"Adoption of the first constitution, initiating legal and governmental reforms."
1905-01-01,Constitutional Revolution,"Establishment of a constitution and a parliament, aiming for modernization and reduction of monarchic power."
1914-01-01,British Occupation of Basra,"Start of British involvement in Iraq during WWI, leading to eventual British mandate."
1930-01-01,Forced Sedentarization of Nomads,"Soviet policies aimed to settle nomadic populations, significantly altering traditional lifestyles."
1865-01-01,Russian Conquest of Tashkent,"Incorporation into the Russian Empire, impacting local governance and development."
1910-01-01,Treaty of Punakha with British India,"Affirmed British protection in exchange for internal autonomy, securing Bhutan's sovereignty."
1887-01-01,Formal British Protectorate Status,"Established a formal protectorate under British Empire, influencing foreign policy and defense."
1942-01-01,Japanese Occupation,"Japanese control disrupted British colonial rule, contributing to the rise of independence movements."
1951-01-01,Mossadegh's Premiership and Oil Nationalization,Marked a pivotal point in Iranian nationalism and conflict with Western powers over oil resources.
1958-01-01,14 July Revolution,"Overthrow of the Hashemite monarchy, leading to the establishment of a republic."
1922-01-01,Accession to the Soviet Union,"Integration into the Soviet Union, significantly impacting political and social structures."
1924-01-01,Establishment of the Uzbek Soviet Socialist Republic,"Formation as a constituent republic of the Soviet Union, altering national identity and governance."
1961-01-01,First FiveUnknownYear Plan,"Initiation of planned economic development, focusing on modernization and infrastructure."
1959-01-01,Suvadive Rebellion,Attempted secession highlighting regional discontent and desire for greater autonomy within Maldives.
1948-01-01,Formation of Federation of Malaya,"British response to increasing nationalist movements, setting the stage for eventual independence."
1953-08-01,1953 Iranian Coup d'état,"Overthrow of Prime Minister Mohammad Mossadegh, consolidation of Shah's power."
1979-02-01,1979 Iranian Revolution,"Establishment of the Islamic Republic of Iran, fall of the Pahlavi dynasty."
1958-07-01,1958 Iraqi Revolution,"Overthrow of the Hashemite monarchy, establishment of a republic."
1980-09-01,IranUnknownIraq War,"Attempted to dominate the Persian Gulf region, resulted in stalemate and devastation."
1991-01-01,Gulf War,Iraq's invasion of Kuwait leads to conflict and subsequent economic sanctions.
1991-12-16,Independence from the Soviet Union,Kazakhstan declares sovereignty as the Soviet Union collapses.
1997-01-01,Capital Moved to Astana,Moving the capital was aimed at political and economic development.
1991-09-01,Independence from the Soviet Union,Uzbekistan declares independence following the dissolution of the Soviet Union.
2016-09-01,Death of Islam Karimov,Transition of power after the death of longUnknowntime leader Islam Karimov.
1999-06-01,Introduction of Television,"Marking the end of Bhutan's isolation, introduction of television and the internet."
2008-03-01,First Democratic Elections,Transition to a constitutional monarchy with the first democratic elections.
2005-06-01,Introduction of a Multiparty System,Reformation towards a more democratic political system.
2004-12-26,2004 Tsunami Impact,Devastation and subsequent reconstruction efforts highlighting vulnerability to climate change.
1957-08-31,Independence from the United Kingdom,"End of British colonial rule, establishment of the Federation of Malaya."
1963-09-16,Formation of Malaysia,"Merger of Malaya, Sabah, Sarawak, and Singapore into Malaysia; Singapore later exits in 1965."
1969-05-13,1969 Race Riots,Ethnic tensions leading to significant violence and the establishment of the New Economic Policy.
1971-01-01,New Economic Policy Introduced,Aimed at eradicating poverty and restructuring societal economic imbalance.
2009-06-01,Green Movement,"Protests over the disputed presidential election results, calling for political reform."
2014-06-10,ISIS Captures Mosul,"ISIS's rapid territorial gains in Iraq, leading to international military interventions."
2011-12-16,Zhanaozen Massacre,"Violent crackdown on striking oil workers, leading to numerous deaths and injuries."
2017-09-01,Currency Convertibility Introduced,Introduction of currency convertibility to boost investment and economic liberalization.
1972-01-01,Gross National Happiness Introduced,Concept of measuring and promoting happiness as a goal of governance.
2018-02-01,Political Crisis and State of Emergency,Political tensions leading to a state of emergency and concerns over democracy.
2015-01-01,1MDB Scandal,A major corruption scandal involving the state fund 1MDB and leading political figures.
2018-05-08,US Withdrawal from the JCPOA,"US withdrawal from the nuclear deal, leading to heightened tensions and economic sanctions."
2019-10-01,Protests Against Corruption and Unemployment,Nationwide protests demanding political reform and action against corruption.
2019-03-19,Presidential Transition,"Nursultan Nazarbayev resigns after decades in power, KassymUnknownJomart Tokayev becomes president."
2016-01-01,Release of Political Prisoners,"Following Karimov's death, numerous political prisoners were released as part of reforms."
2020-12-17,Decriminalization of Homosexuality,Amendment of the penal code to decriminalize sameUnknownsex relationships.
2018-09-23,Presidential Election Victory of Ibrahim Solih,Marked a significant shift in the political landscape towards democratic reform.
2018-05-09,Pakatan Harapan Electoral Victory,"The opposition coalition's victory, ending six decades of UMNOUnknownled government rule."
2014-03-08,Malaysia Airlines Flight MH370 Disappearance,"Disappeared en route from Kuala Lumpur to Beijing with 239 people on board, remains missing."
1985-08-12,Japan Airlines Flight 123,The world's deadliest singleUnknownaircraft accident with 520 fatalities.
2002-05-25,China Airlines Flight 611,"Disintegration in midUnknownflight due to structural failure, killing all 225 aboard."
1997-08-06,Korean Air Flight 801,"Crashed on approach to Guam due to pilot error and adverse conditions, 228 fatalities."
2014-12-28,AirAsia Flight QZ8501,"Crashed into the Java Sea during bad weather, killing all 162 people on board."
1992-09-28,Pakistan International Airlines Flight 268,"Crashed into a hillside on approach to Kathmandu, 167 fatalities."
1994-12-11,Philippine Airlines Flight 434,"A bomb exploded on board, killing one and injuring several; part of a terrorist plot."
1997-12-19,SilkAir Flight 185,"Crashed into the Musi River, all 104 aboard died, cause of the crash was controversial."
2007-09-16,OneUnknownTwoUnknownGO Airlines Flight 269,"Crashed on landing in poor weather conditions at Phuket, 90 fatalities."
2014-04-16,MV Sewol Ferry Sinking,"Ferry capsized and sank during a voyage to Jeju, over 300 dead, mostly high school students."
2011-03-11,Fukushima Daiichi Nuclear Disaster,"Earthquake and tsunami led to nuclear meltdowns, releasing significant amounts of radioactive material."
2011-07-23,Wenzhou Train Collision,"HighUnknownspeed train collision due to signal failure, causing 40 deaths and over 190 injuries."
1987-12-20,MV Doña Paz Collision,"Collided with a tanker, resulting in the world's deadliest peacetime maritime disaster with over 4,300 deaths."
1960-10-24,Nedelin Catastrophe,"Explosion during missile test, killing over 100 people, including top missile program personnel."
2006-05-29,Sidoarjo Mud Flow,"Gas exploration drilling mishap causing a mud volcano, displacing thousands and submerging villages."
2018-06-23,Tham Luang Cave Rescue,"A youth football team and their coach were trapped in a cave for 18 days, global rescue effort."
1776-07-04,Declaration of Independence,Marked the USA's declaration of independence from British rule.
1803-04-30,Louisiana Purchase,"Doubled the size of the USA, acquiring territory from France."
1861-04-12,Civil War,"Resolved the issues of slavery and secession, preserving the Union."
1920-08-18,Women's Suffrage (19th Amendment),Granted women the right to vote.
1929-10-29,Stock Market Crash of 1929,"Led to the Great Depression, impacting global economy."
1969-07-20,Moon Landing (Apollo 11),First successful manned mission to the Moon.
1964-07-02,Civil Rights Act of 1964,"Prohibited discrimination based on race, color, religion, sex, or national origin."
2001-09-11,September 11 Attacks,Led to global War on Terror and significant changes in US policies.
2021-04-19,First Mars Helicopter Flight,Ingenuity helicopter made the first powered flight on another planet.
1954-05-17,Brown v. Board of Education,Landmark Supreme Court ruling that declared segregation in public schools unconstitutional.
1955-01-01,Vietnam War,Controversial conflict that sparked widespread protests and led to significant casualties.
1972-06-17,Watergate Scandal,Led to the resignation of President Richard Nixon.
1986-01-28,Challenger Space Shuttle Disaster,"Space Shuttle Challenger broke apart shortly after launch, killing all seven crew members."
1989-11-09,Fall of the Berlin Wall,Symbolized the end of the Cold War and led to German reunification; significant US involvement.
1995-04-19,Oklahoma City Bombing,"Deadliest act of domestic terrorism in the US until 9/11, leading to 168 deaths."
2005-08-29,Hurricane Katrina,"One of the deadliest hurricanes in US history, causing widespread destruction and loss of life."
2013-01-01,Black Lives Matter Movement,Movement against violence and systemic racism towards black people.
2012-06-28,Supreme Court Upholds Obamacare,"Affirmed the constitutionality of the Affordable Care Act, ensuring continued health coverage."
2017-01-01,USUnknownMexico Border Wall Expansion,Controversial project aimed at curbing illegal immigration and trafficking.
2015-06-26,SameUnknownSex Marriage Legalization,"Supreme Court legalized sameUnknownsex marriage, a landmark decision."
2017-01-01,#MeToo Movement,"Movement against sexual harassment and assault, sparking global conversations."
2021-01-06,Capitol Riot,"Violent attack on the US Capitol, leading to concerns about democracy."
2020-01-01,George Floyd Protests and Derek Chauvin Trial,Nationwide protests against racial injustice; Derek Chauvin's trial and conviction.
2021-01-20,Paris Agreement Rejoining,"Rejoined the Paris Agreement, signaling renewed commitment to climate action."
2012-10-29,Hurricane Sandy,Devastating hurricane causing extensive damage and highlighting climate risks.
2010-01-01,Affordable Care Act (Obamacare) Implementation,Implementation of the Affordable Care Act aimed at improving healthcare access.
1963-08-28,March on Washington for Jobs and Freedom,"Iconic civil rights march, culminating in Martin Luther King Jr.'s ""I Have a Dream"" speech."
1963-11-22,Assassination of President John F. Kennedy,"Shocked the nation, leading to significant political consequences."
1969-06-28,Stonewall Riots,Marked the beginning of the modern LGBTQ+ rights movement.
1973-01-22,Roe v. Wade Supreme Court Decision,"Legalized abortion nationwide, sparking ongoing debates."
1990-01-01,Tech Boom and DotUnknowncom Bubble,"Rapid growth in tech industry, followed by a market crash in 2000."
2001-10-26,Enactment of the Patriot Act,"Expanded surveillance powers postUnknown9/11, raising privacy concerns."
2008-01-01,Housing Market Crash and Great Recession,"Triggered global financial crisis, leading to widespread economic hardship."
2017-08-12,Charlottesville Rally and Violence,Highlighted racial tensions and sparked national debate on hate groups.
2017-12-06,US Recognition of Jerusalem as Israel's Capital,"Shifted US foreign policy, leading to global reactions and tensions."
2021-01-06,January 6 Capitol Attack,"Attempt to overturn the 2020 presidential election results, challenging democratic norms."
2021-08-30,Withdrawal from Afghanistan,"Ended America's longest war, resulting in rapid Taliban takeover."
2021-01-20,First Woman Vice President Elected,"Kamala Harris becomes the first female, first Black, and first Asian American vice president."
2022-06-24,Supreme Court Overturns Roe v. Wade,"Ended federal protection for abortion rights, leaving regulation to states."
2021-12-25,Launch of James Webb Space Telescope,"Advanced space observatory to study the universe, successor to Hubble."
1773-12-16,Boston Tea Party,Protest against British taxes on tea; pivotal event leading to the American Revolution.
1804-05-01,Lewis and Clark Expedition,Expedition to explore the newly acquired western territory of the United States.
1848-01-01,California Gold Rush,Led to a massive influx of settlers and rapid economic growth.
1848-07-19,Seneca Falls Convention,"First women's rights convention in the U.S., sparking the suffrage movement."
1863-01-01,Emancipation Proclamation,Declared the freedom of all slaves in ConfederateUnknownheld territory.
1869-05-10,Transcontinental Railroad Completed,"Connected the East and West coasts, facilitating travel and commerce."
1898-04-01,SpanishUnknownAmerican War,Resulted in U.S. acquiring territories and emerging as a world power.
1903-12-17,Wright Brothers' First Flight,Marked the beginning of powered flight and the aviation era.
1846-04-01,MexicanUnknownAmerican War,Resulted in U.S. acquiring territories including California and New Mexico.
1857-03-06,Dred Scott Decision,Ruled African Americans could not be American citizens and negated Missouri Compromise.
1862-05-20,Homestead Act,"Provided land to settlers for development, leading to westward expansion."
1914-08-15,Completion of the Panama Canal,Facilitated maritime trade between Atlantic and Pacific oceans.
1917-04-06,Entry into World War I,"Marked U.S. entry into WWI, significant impact on the war's outcome."
1920-01-17,Prohibition Era Begins,"Nationwide ban on alcohol production, sale, and transport."
1935-08-14,Social Security Act,Established a system of oldUnknownage benefits and unemployment insurance.
1941-12-07,Attack on Pearl Harbor,Prompted U.S. entry into World War II.
1945-07-01,Manhattan Project and Atomic Bombing of Hiroshima and Nagasaki,"Led to the end of World War II, significant ethical and geopolitical implications."
1948-01-01,Marshall Plan Implementation,"U.S. program to aid Europe's recovery postUnknownWWII, strengthened Western alliances."
1945-06-26,United Nations Charter Ratification,"Founding of the United Nations, promoting international cooperation and peace."
1607-05-14,Founding of Jamestown,"First permanent English settlement in the Americas, economic and cultural development."
1692-02-01,Salem Witch Trials,Series of hearings and prosecutions of people accused of witchcraft.
1754-01-01,French and Indian War,"Conflict between British America and New France, part of a larger imperial war."
1770-03-05,Boston Massacre,"British soldiers killed five civilian men, fueling tensions leading to the revolution."
1787-10-01,Writing of the Federalist Papers,Essays promoting the ratification of the U.S. Constitution.
1812-06-01,War of 1812,"Conflict with Britain over maritime rights, territorial expansion, and trade."
1820-03-01,Missouri Compromise,Attempted to balance power between slave and free states entering the Union.
1838-01-01,Trail of Tears,"Forced removal of Cherokee and other tribes from their lands, many deaths."
1850-09-01,Compromise of 1850,Series of laws attempting to address slavery and territorial expansion.
1854-05-30,KansasUnknownNebraska Act,"Allowed states to decide on slavery, leading to ""Bleeding Kansas"" and heightened sectional tensions."
1867-03-30,Alaska Purchase,"Acquisition of Alaska from Russia, significantly expanding U.S. territory."
1865-01-01,Reconstruction Era,"Attempt to rebuild and reform the Southern states postUnknownCivil War, mixed success."
1870-01-01,Gilded Age,"Period of rapid economic growth, industrialization, and political corruption."
1867-07-01,Confederation of Canada,Unification of provinces into a single dominion within the British Empire.
1885-11-07,Completion of the Canadian Pacific Railway,"Connected Eastern Canada to the West, facilitating settlement and trade."
1917-04-09,Battle of Vimy Ridge,Marked a turning point in Canadian national pride and military achievement.
1921-07-27,Discovery of Insulin,"Revolutionized the treatment of diabetes, saving countless lives."
1949-03-31,Newfoundland Joins Canada,Newfoundland became the tenth province of Canada.
1965-02-15,Adoption of the Maple Leaf Flag,The maple leaf became the national symbol on Canada's flag.
1969-09-09,Official Languages Act,Recognized English and French as the official languages of Canada.
1982-04-17,Canada Act 1982 (Patriation of the Constitution),"Gave Canada full sovereignty, including the ability to amend its constitution."
1990-07-11,Oka Crisis,"Standoff between Mohawk protesters, Quebec police, and the Canadian army."
1992-12-17,NAFTA Agreement Signed,North American Free Trade Agreement altered trade relations with the U.S. and Mexico.
2008-06-11,Apology to Residential School Survivors,Official apology to Indigenous peoples for the residential school system.
2010-02-12,Vancouver Winter Olympics,"Hosted the Winter Olympics, showcasing Canada on the world stage."
2005-07-20,Legalization of SameUnknownSex Marriage,Made Canada the fourth country worldwide to legalize sameUnknownsex marriage.
2018-10-17,Cannabis Legalization,Canada became the second country to legalize the recreational use of cannabis.
2015-12-08,Murdered and Missing Indigenous Women Inquiry,National inquiry into the systemic causes of violence against Indigenous women.
2016-05-01,Fort McMurray Wildfire,"One of Canada's costliest disasters, leading to massive evacuations."
1999-04-01,Establishment of Nunavut,"Creation of Nunavut as a territory, acknowledging Inuit selfUnknowngovernance."
1995-10-30,Quebec Referendum on Sovereignty,"Referendum on Quebec's independence from Canada, narrowly defeated."
1992-10-26,Charlottetown Accord Referendum,Proposed constitutional changes defeated in a national referendum.
1869-01-01,Red River Resistance,"Led by Métis leader Louis Riel, resisting Canadian authority to maintain Métis rights and culture."
1896-01-01,Klondike Gold Rush,"Attracted thousands of prospectors to the Yukon, significant economic impact."
1917-12-06,Halifax Explosion,"One of the world's largest nonUnknownnuclear explosions, devastating Halifax."
1942-01-01,Internment of Japanese Canadians,"Internment of Japanese Canadians during WWII, violation of civil liberties."
1947-02-13,Discovery of Oil in Alberta,"Led to Alberta's oil boom, transforming Canada's energy sector."
1926-11-18,Balfour Declaration of 1926,Recognized Canada and other dominions as autonomous within the British Empire.
1931-12-11,Statute of Westminster,Gave Canada legislative independence from the UK.
1944-01-01,Conscription Crisis of 1944,Deepened the divide between English and French Canadians over WWII conscription.
1921-07-27,Discovery of Insulin,Revolutionized the treatment of diabetes globally.
1949-03-31,Joining of Newfoundland,Newfoundland became Canada's tenth province.
1965-02-15,Creation of the Canadian Flag,Adoption of the red maple leaf flag as the national flag of Canada.
1969-09-09,Official Languages Act,Made English and French the official languages of Canada.
1982-04-17,Patriation of the Canadian Constitution,Canada gained full sovereignty with the ability to amend its own constitution.
1999-04-01,Establishment of Nunavut,Creation of Nunavut provided a separate territory for the Inuit people.
1215-06-15,Signing of the Magna Carta,Foundation of constitutional law
1534-03-01,Establishment of the Church of England,Established a national church separate from the Catholic Church
1588-08-08,Defeat of the Spanish Armada,Ensured English naval dominance
1603-03-24,Union of the Crowns,James VI of Scotland also became James I of England
1642-08-22,English Civil War Begins,Establishment of Parliamentary supremacy over the monarchy
1660-05-29,The Restoration of the Monarchy,Restored the monarchy under Charles II
1707-05-01,Act of Union with Scotland,Formed the Kingdom of Great Britain
1760-01-01,Industrial Revolution Begins,Initiated industrialization and economic growth
1801-01-01,Act of Union with Ireland,United Great Britain and Ireland
1805-10-21,Battle of Trafalgar,Ensured British naval supremacy
1832-01-01,Reform Act 1832,Expanded electoral franchise and reformed Parliament
1837-06-20,Queen Victoria's Reign Begins,Marked the beginning of the Victorian Era
1859-11-24,"Publication of Darwin's ""On the Origin of Species""",Laid the foundation of evolutionary biology
1948-01-01,Establishment of the Welfare State,Introduced the National Health Service and social welfare programs
1947-01-01,Decolonization Begins,Began the process of decolonizing the British Empire
1956-01-01,Suez Crisis,Marked the decline of Britain's imperial power
1962-01-01,The Beatles' Rise to Fame,Global cultural impact through music
1982-04-02,Falklands War,Reasserted British control over the Falklands
1998-04-10,Good Friday Agreement,Ended most of the violence of the Troubles
2016-06-23,Brexit Referendum,UK voted to leave the European Union
1666-09-02,Great Fire of London,Destruction of much of medieval London
1807-03-25,Abolition of the Slave Trade Act,Ended British trade in enslaved Africans
1825-09-27,First Railway Line Opens,Inauguration of the modern railway system
1918-02-06,Women's Suffrage Achieved,Granted voting rights to women over 30
1940-07-10,Battle of Britain,Key WWII air battle ensuring UK's defense
1948-07-05,National Health Service Established,Creation of publicly funded healthcare system
1997-05-10,First Human DNA Sequencing,Significant advancement in genetics and medicine
1997-09-11,Scottish Devolution Referendum,Established a devolved Scottish Parliament
2005-07-07,London Underground Bombings,Major terrorist attack on public transport
2012-07-27,2012 London Olympics,Showcased UK on global stage and boosted economy
2014-03-29,SameUnknownSex Marriage Legalized,Legalization of sameUnknownsex marriage in England and Wales
2014-09-18,Scottish Independence Referendum,Scotland voted to remain in the UK
2017-06-14,Grenfell Tower Fire,Deadly fire causing significant loss of life and raising safety concerns
2020-01-01,COVIDUnknown19 Pandemic in the UK,Significant impact on public health and economy
2021-04-09,Prince Philip's Death,Marked the end of an era in the British monarchy
1840-01-10,Introduction of the Penny Post,Revolutionized the postal system
1936-11-02,First Television Broadcast by BBC,Beginning of television broadcasting
1921-12-06,Signing of the AngloUnknownIrish Treaty,Established the Irish Free State and ended the Irish War of Independence
1949-04-28,Creation of the Commonwealth of Nations,Formation of an intergovernmental organization of former British colonies
1337-01-01,Start of the Hundred Years' War,Long conflict between England and France
1688-01-01,The Glorious Revolution,Established constitutional monarchy in England
1815-06-18,Battle of Waterloo,Defeat of Napoleon and end of the Napoleonic Wars
1838-01-01,Chartist Movement,Demand for political reforms and workers' rights
1928-09-28,Discovery of Penicillin,London
1992-09-16,British Exit from the European Exchange Rate Mechanism,'Black Wednesday' financial crisis
1953-06-02,Queen Elizabeth II's Coronation,Beginning of the second Elizabethan era
1996-07-05,First Cloned Mammal Unknown Dolly the Sheep,Advancement in cloning technology
2005-07-17,UK Hosts the G8 Summit,Focus on climate change and Africa's development
2016-07-13,Theresa May becomes Prime Minister,Second female Prime Minister in UK history
2020-12-02,UK Authorizes COVIDUnknown19 Vaccine,First country to authorize a COVIDUnknown19 vaccine for emergency use
2500-01-01,Stonehenge Completion,Creation of iconic Neolithic monument
1265-01-20,First English Parliament,Formation of the first English Parliament
1415-10-25,Battle of Agincourt,Decisive English victory in the Hundred Years' War
1348-01-01,The Plague (Black Death) Arrives in England,Devastating epidemic that significantly reduced the population
1588-01-01,The Armada Portrait of Elizabeth I,Symbolized English victory over the Spanish Armada
1534-11-03,Act of Supremacy,Confirmed the King's status as head of the Church of England
1972-01-30,Bloody Sunday in Northern Ireland,Civil rights protest turned deadly
1963-01-01,The Big Freeze of 1963,One of the coldest winters on record
1987-01-01,UK Hosts the First Rugby World Cup,Inaugural Rugby World Cup
0732-10-10,Battle of Tours,Christian Franks defeat Muslim forces  halting the advance of Islam into Western Europe
0843-01-01,Signing of the Treaty of Verdun,Division of the Carolingian Empire among Charlemagne's grandsons  leading to the formation of modern European states
0800-12-25,Coronation of Charlemagne as Holy Roman Emperor,Establishment of the Holy Roman Empire
1095-11-27,Launch of the First Crusade,Initiation of the Crusades to the Holy Land
1150-01-01,Establishment of the University of Paris,Foundation of one of the first universities in Europe
1337-01-01,Start of the Hundred Years' War,Long conflict between England and France
1429-05-08,Joan of Arc lifts the Siege of Orléans,Major turning point in the Hundred Years' War
1453-10-19,End of the Hundred Years' War,France regains territories ending English territorial presence in France
1495-01-01,Beginning of the French Renaissance,"Revival of arts, science  and culture inspired by Classical antiquity"
1598-04-13,Publication of the Edict of Nantes,Grant of religious freedom to Huguenots reducing religious conflicts
1789-07-14,Start of the French Revolution,Beginning of the end of monarchy and rise of the Republic
1793-01-21,Execution of Louis XVI,Symbolic end of absolute monarchy and start of the Republic
1799-11-09,Napoleon Bonaparte's Coup d'Etat,Establishment of the Consulate  ending the French Revolution
1804-03-21,Napoleonic Code Enacted,Foundation of modern legal systems in many countries
1870-07-19,FrancoUnknownPrussian War,Lead to the fall of the Second Empire and the establishment of the Third Republic
1958-10-04,Establishment of the Fifth Republic,New constitution and government structure strengthening presidential power
1968-05-01,May 1968 Protests,Major social upheaval challenging traditional institutions
2013-05-18,SameUnknownSex Marriage Legalized,Legalization of sameUnknownsex marriage in France
2019-04-15,NotreUnknownDame de Paris Fire,Destruction and damage to a historic landmark
2018-11-17,Yellow Vest Protests,Nationwide protests against fuel taxes and economic inequality
2018-07-15,France Wins the 2018 FIFA World Cup,Second World Cup win boosting national pride
1415-10-25,Battle of Agincourt,Significant English victory in the Hundred Years' War
1789-07-14,French Revolution Begins,Overthrow of the monarchy and rise of democratic ideals
1793-01-21,Louis XVI Executed,End of the monarchy and start of the French Republic
1793-09-05,Reign of Terror Begins,Period of extreme violence and political purges
1804-12-02,Napoleon Crowned Emperor,Establishment of the First French Empire
1815-06-18,End of Napoleonic Wars,Defeat of Napoleon and restoration of European monarchies
1852-12-02,Second French Empire Declared,Establishment of the empire under Napoleon III
1871-03-18,Paris Commune,Revolutionary government in Paris following FrancoUnknownPrussian War
1894-01-01,Dreyfus Affair,Wrongful conviction for treason exposing antiUnknownSemitism and political division
1944-04-21,Women Gain the Right to Vote,Women's suffrage achieved
1957-03-25,Signing of the Treaty of Rome,Foundation of the European Economic Community
1968-05-01,May 1968 Student Protests,Major social and political upheaval
1999-01-01,Introduction of the Euro,Adoption of the Euro as currency
2007-01-01,France Bans Smoking in Public Places,Public health measure to reduce smoking
0509-01-01,Rise of the Roman Republic,End of Roman Kingdom and establishment of the republic
0264-01-01,Punic Wars Begin,Conflict between Rome and Carthage for control of the Mediterranean
0476-09-04,Fall of the Western Roman Empire,End of the Western Roman Empire and beginning of the Middle Ages
0800-12-25,Crowning of Charlemagne,Establishment of the Holy Roman Empire
1095-11-27,First Crusade Announced,Initiation of the Crusades to the Holy Land
1454-04-09,Signing of the Treaty of Lodi,Established a balance of power among Italian cityUnknownstates
1453-05-29,Fall of Constantinople,Sparked the Renaissance through the migration of Greek scholars to Italy
1503-01-01,Leonardo da Vinci Completes the Mona Lisa,Creation of one of the most famous paintings in history
1527-05-06,Sack of Rome,End of the Renaissance in Rome
1609-08-25,Galileo Galilei's Telescope Presentation,Revolution in astronomical observations
1713-04-11,Treaty of Utrecht Ends the War of Spanish Succession,Redefined European power balance
1861-03-17,Unification of Italy Proclaimed,Establishment of the Kingdom of Italy
1922-10-28,Mussolini's March on Rome,Fascist takeover of Italy
1929-02-11,Signing of the Lateran Treaty,Establishment of Vatican City as an independent state
1940-06-10,Italy Enters World War II,Alliance with Germany and Japan
1943-07-25,Fall of Mussolini,Ouster of Benito Mussolini from power
1946-06-02,Italian Republic Established,End of the monarchy and establishment of a republic
1957-03-25,Signing of the Treaty of Rome,Founding of the European Economic Community
1966-11-04,Flooding of the Arno River,Severe damage to art and cultural heritage
1978-03-16,Aldo Moro Kidnapping and Murder,Political turmoil and violence
1992-02-17,Mani Pulite (Clean Hands) Investigation Begins,Exposure of widespread political corruption
1994-03-27,Berlusconi Elected Prime Minister,Shift in Italian politics and media landscape
2006-02-10,2006 Winter Olympics in Turin,Showcased Italy on a global stage
2009-04-06,L'Aquila Earthquake,Significant loss of life and damage to heritage sites
2012-01-13,Costa Concordia Shipwreck,Loss of lives and environmental impact
2015-05-01,Expo 2015 in Milan,Global cultural and technological exhibition
1492-08-03,Funding of Christopher Columbus' Voyage,Discovery of the New World
1492-01-01,Reconquista Completion,End of Muslim rule in the Iberian Peninsula
1588-08-08,Spanish Armada,Failed attempt to invade England
1659-11-07,Treaty of the Pyrenees,Marked the end of the FrancoUnknownSpanish War (1635–1659)
1701-01-01,War of Spanish Succession,Established the Bourbon dynasty in Spain
1478-11-01,Establishment of the Spanish Inquisition,"Enforcement of Catholic orthodoxy; persecution of Jews, Muslims, and heretics"
1898-01-01,Fall of the Spanish Empire,Loss of last major overseas colonies; end of Spanish imperial era
1936-07-17,Spanish Civil War,Establishment of Francoist dictatorship
1975-11-20,Transition to Democracy,Transition from dictatorship to democracy
2004-03-11,2004 Madrid Train Bombings,Highlighted the threat of international terrorism
1898-04-25,SpanishUnknownAmerican War,Spain loses its last colonies in the Americas and Asia
1986-01-01,Entry into the European Union,Boosted economic growth and integration into European community
1492-10-12,Discovery of the Americas,Opened the New World to European colonization
1492-03-31,Expulsion of the Jews,"Forced conversion, departure, or death of thousands of Jews"
1805-10-21,Battle of Trafalgar,Decisive British victory that ended Napoleon's plans to invade Britain
1469-01-01,Union of Castile and Aragon,Unified the crowns of Castile and Aragon
1650-01-01,The Spanish Golden Age,Flourishing of arts and literature
1701-01-01,War of the Spanish Succession,Redefined European power balance
